2906453.865,2111734.677,-1541379691
1919516.826,1403376.36,-1730969068
2624051.711,1973478.76,-1599300052
2010498.51,1508161.249,-1714518054
3897082.826,2913140.183,-1206183300
4358503.194,3231984.614,-980528767.6
2332321.981,1752517.935,-1658875180
1982251.648,1488397.18,-1718803480
1959041.873,1475019.134,-1722063107
2187773.814,1650950.151,-1684436008
2091562.442,1581317.311,-1700527887
1933897.907,1467499.099,-1725041158
1434322.755,1058212.962,-1791124196
1091837.273,816905.6942,-1822316164
1015351.452,762799.382,-1828095634
1159891.854,874354.9799,-1816429774
788287.8324,550218.8948,-1844136920
747223.3013,539584.9915,-1845867255
988695.7484,709231.3453,-1831187624
957321.7485,692490.7195,-1833160618
869357.055,654806.6092,-1838087438
667582.8477,496368.4956,-1849511734
785712.0497,586390.8945,-1843277241
713023.927,533165.5832,-1847183462
759562.4651,569631.61,-1844663843
766329.6681,573840.292,-1844312816
890855.4887,674416.1827,-1836599816
672419.0547,508128.2414,-1849088663
760376.1932,577843.1729,-1844416684
775920.1915,588228.4396,-1843581936
